name,position,team,cost
Sam Greenwood,MID,Leeds,4.9
Sean Longstaff,MID,Leeds,4.8
Wilfried Gnonto,MID,Leeds,5.2
Dominic Calvert-Lewin,FWD,Leeds,5.8
Harry Gray,FWD,Leeds,4.5
Joel Piroe,FWD,Leeds,4.9
Lukas Nmecha,FWD,Leeds,5.0
Mateo Joseph Fernández-Regatillo,FWD,Leeds,5.0
Patrick Bamford,FWD,Leeds,4.9
Alisson Becker,GK,Liverpool,5.4
Freddie Woodman,GK,Liverpool,3.9
Giorgi Mamardashvili,GK,Liverpool,4.1
Ármin Pécsi,GK,Liverpool,3.8
Amara Nallo,DEF,Liverpool,3.7
Andrew Robertson,DEF,Liverpool,5.7
Calvin Ramsay,DEF,Liverpool,3.8
Conor Bradley,DEF,Liverpool,4.9
Giovanni Leoni,DEF,Liverpool,4.9
Ibrahima Konate,DEF,Liverpool,5.4
Jeremie Frimpong,DEF,Liverpool,5.7
Joe Gomez,DEF,Liverpool,4.9
Konstantinos Tsimikas,DEF,Liverpool,4.8
Milos Kerkez,DEF,Liverpool,5.6
Rhys Williams,DEF,Liverpool,3.7
Virgil van Dijk,DEF,Liverpool,5.9
Wellity Lucky,DEF,Liverpool,4.0
Alexis Mac Allister,MID,Liverpool,6.2
Cody Gakpo,MID,Liverpool,7.3
Curtis Jones,MID,Liverpool,5.4
Dominik Szoboszlai,MID,Liverpool,6.7
Endo Wataru,MID,Liverpool,4.9
Federico Chiesa,MID,Liverpool,6.3
Florian Wirtz,MID,Liverpool,8.4
James McConnell,MID,Liverpool,4.4
Kieran Morrison,MID,Liverpool,4.5
Luis Díaz Marulanda,MID,Liverpool,8.0
Mohamed Salah,MID,Liverpool,14.0
Rio Ngumoha,MID,Liverpool,4.3
Ryan Gravenberch,MID,Liverpool,5.5
Stefan Bajčetić Maquieira,MID,Liverpool,4.3
Trey Nyoni,MID,Liverpool,4.3
Tyler Morton,MID,Liverpool,4.5
Alexander Isak,FWD,Liverpool,10.3
Darwin Núñez Ribeiro,FWD,Liverpool,6.5
Hugo Ekitike,FWD,Liverpool,8.9
Jayden Danns,FWD,Liverpool,4.3
Ederson,GK,Man City,5.3
Gianluigi Donnarumma,GK,Man City,5.6
James Trafford,GK,Man City,4.5
Marcus Bettinelli,GK,Man City,3.8
Abduqodir Khusanov,DEF,Man City,5.4
John Stones,DEF,Man City,5.4
Josko Gvardiol,DEF,Man City,5.9
Manuel Akanji,DEF,Man City,5.4
Marc Guehi,DEF,Man City,5.2
Matheus Nunes,DEF,Man City,5.4
Max Alleyne,DEF,Man City,4.1
Nathan Ake,DEF,Man City,5.3
Nico O'Reilly,DEF,Man City,4.9
Rayan Ait Nouri,DEF,Man City,5.7
Rico Lewis,DEF,Man City,4.6
Ruben Dias,DEF,Man City,5.5
Stephen Mfuni,DEF,Man City,3.9
Vitor de Oliveira Nunes dos Reis,DEF,Man City,5.0
Antoine Semenyo,MID,Man City,8.0
Bernardo Silva,MID,Man City,6.2
Charlie Gray,MID,Man City,4.5
Claudio Echeverri,MID,Man City,5.4
Divine Mukasa,MID,Man City,4.4
Ilkay Gundogan,MID,Man City,6.3
Jeremy Doku,MID,Man City,6.4
Kalvin Phillips,MID,Man City,4.7
Mateo Kovačić,MID,Man City,5.8
Nico Gonzalez,MID,Man City,5.9
Omar Marmoush,MID,Man City,8.3
Phil Foden,MID,Man City,8.2
Rayan Cherki,MID,Man City,6.5
Reigan Heskey,MID,Man City,4.5
Rodri,MID,Man City,6.3
Ryan McAidoo,MID,Man City,4.5
Savinho,MID,Man City,6.9
Sverre Nypan,MID,Man City,5.0
Tijjani Reijnders,MID,Man City,5.1
Erling Haaland,FWD,Man City,14.8
Altay Bayindir,GK,Man Utd,4.7
Andre Onana,GK,Man Utd,4.9
Dermot Mee,GK,Man Utd,3.9
Elyh Harrison,GK,Man Utd,4.0
Senne Lammens,GK,Man Utd,5.0
Tom Heaton,GK,Man Utd,3.9
Ayden Heaven,DEF,Man Utd,3.7
Diego León Blanco,DEF,Man Utd,4.2
Diogo Dalot,DEF,Man Utd,4.5
Godwill Kukonki,DEF,Man Utd,4.0
Harry Amass,DEF,Man Utd,4.0
Harry Maguire,DEF,Man Utd,4.3
Leny Yoro,DEF,Man Utd,4.1
Lisandro Martinez,DEF,Man Utd,4.8
Luke Shaw,DEF,Man Utd,4.5
Matthijs de Ligt,DEF,Man Utd,4.9
Noussair Mazraoui,DEF,Man Utd,4.9
Patrick Dorgu,DEF,Man Utd,4.3
Tyler Fredricson,DEF,Man Utd,3.8
Tyrell Malacia,DEF,Man Utd,3.8
Amad Diallo,MID,Man Utd,6.2
Antony dos Santos,MID,Man Utd,5.9
Bendito Mantato,MID,Man Utd,4.5
Bruno Fernandes,MID,Man Utd,9.8
Bryan Mbeumo,MID,Man Utd,8.6
Casemiro,MID,Man Utd,5.6
Jack Fletcher,MID,Man Utd,4.3
Jack Moorhouse,MID,Man Utd,4.5
Jayce Fitzgerald,MID,Man Utd,4.3
Kobbie Mainoo,MID,Man Utd,4.6
Manuel Ugarte,MID,Man Utd,4.7
Marcus Rashford,MID,Man Utd,7.0
Mason Mount,MID,Man Utd,5.9
Matheus Cunha,MID,Man Utd,8.1
Shea Lacey,MID,Man Utd,4.5
Sékou Koné,MID,Man Utd,4.3
Toby Collyer,MID,Man Utd,4.5
Tyler Fletcher,MID,Man Utd,4.4
Benjamin Sesko,FWD,Man Utd,7.2
Chido Obi,FWD,Man Utd,4.2
Ethan Wheatley,FWD,Man Utd,4.5
Joshua Zirkzee,FWD,Man Utd,5.8
Rasmus Højlund,FWD,Man Utd,6.3
Aaron Ramsdale,GK,Newcastle,4.8
John Ruddy,GK,Newcastle,4.0
Mark Gillespie,GK,Newcastle,3.9
Nick Pope,GK,Newcastle,5.1
Odysseas Vlachodimos,GK,Newcastle,4.0
Alex Murphy,DEF,Newcastle,3.8
