Season,Gameweek,Source,Team,Player
2026-2027,1,AllAboutFPL,Sunderland,Nilson Angulo
2026-2027,1,AllAboutFPL,Sunderland,Brian Brobbey
2026-2027,1,Curated,Arsenal,David Raya
2026-2027,1,Curated,Arsenal,Gabriel Magalhaes
2026-2027,1,Curated,Arsenal,Martin Odegaard
2026-2027,1,Curated,Arsenal,Riccardo Calafiori
2026-2027,1,Curated,Arsenal,Ben White
2026-2027,1,Curated,Arsenal,Cristhian Mosquera
2026-2027,1,Curated,Arsenal,Christos Tzolis
2026-2027,1,Curated,Arsenal,Myles Lewis-Skelly
2026-2027,1,Curated,Arsenal,Declan Rice
2026-2027,1,Curated,Arsenal,Kai Havertz
2026-2027,1,Curated,Arsenal,Bukayo Saka
2026-2027,1,Curated,Aston Villa,John McGinn
2026-2027,1,Curated,Aston Villa,Pau Torres
2026-2027,1,Curated,Aston Villa,Boubacar Kamara
2026-2027,1,Curated,Aston Villa,Emiliano Buendia
2026-2027,1,Curated,Aston Villa,Matty Cash
2026-2027,1,Curated,Aston Villa,Ian Maatsen
2026-2027,1,Curated,Aston Villa,Ollie Watkins
2026-2027,1,Curated,Aston Villa,Ross Barkley
2026-2027,1,Curated,Aston Villa,Victor Lindelof
2026-2027,1,Curated,Aston Villa,Zion Suzuki
2026-2027,1,Curated,Aston Villa,Alejandro Garnacho
2026-2027,1,Curated,Bournemouth,Djordje Petrovic
2026-2027,1,Curated,Bournemouth,Marcus Tavernier
2026-2027,1,Curated,Bournemouth,Alex Scott
2026-2027,1,Curated,Bournemouth,Adrien Truffert
2026-2027,1,Curated,Bournemouth,Evanilson
2026-2027,1,Curated,Bournemouth,António João Pereira de Albuquerque Tavares da Silva
2026-2027,1,Curated,Bournemouth,Justin Kluivert
2026-2027,1,Curated,Bournemouth,Rayan
2026-2027,1,Curated,Bournemouth,Adam Smith
2026-2027,1,Curated,Bournemouth,James Hill
2026-2027,1,Curated,Bournemouth,Lewis Cook
2026-2027,1,Curated,Brentford,Michael Kayode
2026-2027,1,Curated,Brentford,Kevin Schade
2026-2027,1,Curated,Brentford,Dango Ouattara
2026-2027,1,Curated,Brentford,Nathan Collins
2026-2027,1,Curated,Brentford,Caoimhin Kelleher
2026-2027,1,Curated,Brentford,Keane Lewis-Potter
2026-2027,1,Curated,Brentford,Kristoffer Ajer
2026-2027,1,Curated,Brentford,Igor Thiago
2026-2027,1,Curated,Brentford,Mamadou Sangaré
2026-2027,1,Curated,Brentford,Mathias Jensen
2026-2027,1,Curated,Brentford,Vitaly Janelt
2026-2027,1,Curated,Brighton,Bart Verbruggen
2026-2027,1,Curated,Brighton,Ferdi Kadioglu
2026-2027,1,Curated,Brighton,Mats Wieffer
2026-2027,1,Curated,Brighton,Diego Gomez
2026-2027,1,Curated,Brighton,Maxim De Cuyper
2026-2027,1,Curated,Brighton,Jack Hinshelwood
2026-2027,1,Curated,Brighton,Pascal Gross
2026-2027,1,Curated,Brighton,Georginio Rutter
2026-2027,1,Curated,Brighton,Luka Vušković
2026-2027,1,Curated,Brighton,Yasin Ayari
2026-2027,1,Curated,Brighton,Olivier Boscagli
2026-2027,1,Curated,Chelsea,Moises Caicedo
2026-2027,1,Curated,Chelsea,Robert Sanchez
2026-2027,1,Curated,Chelsea,Joao Pedro
2026-2027,1,Curated,Chelsea,Cole Palmer
2026-2027,1,Curated,Chelsea,Maxence Lacroix
2026-2027,1,Curated,Chelsea,Levi Samuels Colwill
2026-2027,1,Curated,Chelsea,Morgan Rogers
2026-2027,1,Curated,Chelsea,Reece James
2026-2027,1,Curated,Chelsea,Marco Palestra
2026-2027,1,Curated,Chelsea,Pedro Neto
2026-2027,1,Curated,Chelsea,Enzo Fernandez
2026-2027,1,Curated,Coventry City,Carl Rushworth
2026-2027,1,Curated,Coventry City,Matt Grimes
2026-2027,1,Curated,Coventry City,Milan van Ewijk
2026-2027,1,Curated,Coventry City,Aurèle Amenda
2026-2027,1,Curated,Coventry City,Bobby Thomas
2026-2027,1,Curated,Coventry City,Ellis Simms
2026-2027,1,Curated,Coventry City,Caleb Yirenkyi
2026-2027,1,Curated,Coventry City,Loum Tchaouna
2026-2027,1,Curated,Coventry City,Frank Onyeka
2026-2027,1,Curated,Coventry City,Jay Dasilva
2026-2027,1,Curated,Coventry City,Brandon Thomas-Asante
2026-2027,1,Curated,Crystal Palace,Chris Richards
2026-2027,1,Curated,Crystal Palace,Adam Wharton
2026-2027,1,Curated,Crystal Palace,Tyrick Mitchell
2026-2027,1,Curated,Crystal Palace,Chadi Riad
2026-2027,1,Curated,Crystal Palace,Oscar Mingueza
2026-2027,1,Curated,Crystal Palace,Jorgen Strand Larsen
2026-2027,1,Curated,Crystal Palace,Daichi Kamada
2026-2027,1,Curated,Crystal Palace,Ismaila Sarr
2026-2027,1,Curated,Crystal Palace,Jaydee Canvot
2026-2027,1,Curated,Crystal Palace,Dwight McNeil
2026-2027,1,Curated,Crystal Palace,Dean Henderson
2026-2027,1,Curated,Everton,Kiernan Dewsbury-Hall
2026-2027,1,Curated,Everton,Jordan Pickford
2026-2027,1,Curated,Everton,Vitalii Mykolenko
2026-2027,1,Curated,Everton,James Tarkowski
2026-2027,1,Curated,Everton,Harrison Armstrong
2026-2027,1,Curated,Everton,Iliman Ndiaye
2026-2027,1,Curated,Everton,Jarrad Branthwaite
2026-2027,1,Curated,Everton,Hayden Hackney
2026-2027,1,Curated,Everton,Thierno Barry
2026-2027,1,Curated,Everton,Merlin Röhl
2026-2027,1,Curated,Everton,Jake O'Brien
2026-2027,1,Curated,Fulham,Alex Iwobi
2026-2027,1,Curated,Fulham,Antonee Robinson
2026-2027,1,Curated,Fulham,Calvin Bassey
2026-2027,1,Curated,Fulham,Bernd Leno
2026-2027,1,Curated,Fulham,Jorge Cuenca
2026-2027,1,Curated,Fulham,Gonzalo García
2026-2027,1,Curated,Fulham,Sander Berge
2026-2027,1,Curated,Fulham,Timothy Castagne
2026-2027,1,Curated,Fulham,Oscar Bobb
2026-2027,1,Curated,Fulham,Josh King
2026-2027,1,Curated,Fulham,César Palacios
2026-2027,1,Curated,Hull City,Konstantinos Tzolakis
2026-2027,1,Curated,Hull City,Oli McBurnie
2026-2027,1,Curated,Hull City,Semi Ajayi
2026-2027,1,Curated,Hull City,Lewie Coyle
2026-2027,1,Curated,Hull City,Regan Slater
2026-2027,1,Curated,Hull City,Mohamed Belloumi
2026-2027,1,Curated,Hull City,Ryan Giles
2026-2027,1,Curated,Hull City,Elliot Stroud
2026-2027,1,Curated,Hull City,Matt Crooks
