Season,home_team,away_team,home_win_odds,away_win_odds,home_title_odds,away_title_odds,home_relegation_odds,away_relegation_odds,home_top_6_odds,away_top_6_odds,Gameweek,draw_odds,home_clean_sheet_odds,home_over_1.5_odds,home_over_3.5_odds,away_clean_sheet_odds,away_over_1.5_odds,away_over_3.5_odds
2025-2026,Aston Villa,Leeds,1.8,4.4,57.66666666666666,2148.058823529412,567.6666666666666,10.69565217391304,1.027142857142857,111.0952380952381,,,,,,,,
2025-2026,Brentford,Brighton,2.0,3.5,903.3809523809524,1501.0,302.1904761904762,20.69565217391304,3.656521739130434,50.33333333333334,,,,,,,,
2025-2026,Chelsea,Burnley,1.2,13.0,216.25,1438.5,629.5714285714286,1.014705882352941,1.149545454545455,519.75,,,,,,,,
2025-2026,West Ham,Bournemouth,2.6,2.55,2157.25,1736.294117647059,1.775217391304347,248.9545454545455,298.3684210526316,15.09090909090909,,,,,,,,
2025-2026,Man City,Newcastle,1.5,5.5,2.4725,1072.428571428571,629.5714285714286,285.5238095238095,1.0,9.431818181818182,,,,,,,,
2025-2026,Crystal Palace,Wolves,1.61,5.0,1971.588235294118,4001.0,17.04347826086957,1.001,86.9047619047619,519.75,,,,,,,,
2025-2026,Nott'm Forest,Liverpool,4.0,1.8,2001.0,276.0,3.397826086956521,728.9411764705883,200.3333333333333,1.100909090909091,,,,,,,,
2025-2026,Sunderland,Fulham,2.62,2.75,1651.0,1556.555555555556,86.81818181818181,87.0,34.80952380952381,31.95238095238095,,,,,,,,
2025-2026,Spurs,Arsenal,5.5,1.55,2089.235294117647,1.592916666666667,6.826086956521739,731.0,152.5238095238095,1.0,,,,,,,,
2025-2026,Everton,Man Utd,3.75,1.9,1528.777777777778,63.41666666666666,178.2727272727273,659.8235294117648,24.27272727272727,1.076666666666666,,,,,,,,
2025-2026,Wolves,Aston Villa,4.0,1.86,4001.0,57.66666666666666,1.001,567.6666666666666,519.75,1.027142857142857,,,,,,,,
2025-2026,Bournemouth,Sunderland,1.8,4.33,1736.294117647059,1651.0,248.9545454545455,86.81818181818181,15.09090909090909,34.80952380952381,,,,,,,,
2025-2026,Newcastle,Everton,1.75,4.4,1072.428571428571,1528.777777777778,285.5238095238095,178.2727272727273,9.431818181818182,24.27272727272727,,,,,,,,
2025-2026,Liverpool,West Ham,1.33,8.0,276.0,2157.25,728.9411764705883,1.775217391304347,1.100909090909091,298.3684210526316,,,,,,,,
2025-2026,Burnley,Brentford,4.33,1.8,1438.5,903.3809523809524,1.014705882352941,302.1904761904762,519.75,3.656521739130434,,,,,,,,
2025-2026,Leeds,Man City,5.0,1.61,2148.058823529412,2.4725,10.69565217391304,629.5714285714286,111.0952380952381,1.0,,,,,,,,
2025-2026,Fulham,Spurs,2.3,3.0,1556.555555555556,2089.235294117647,87.0,6.826086956521739,31.95238095238095,152.5238095238095,,,,,,,,
2025-2026,Brighton,Nott'm Forest,2.1,3.5,1501.0,2001.0,20.69565217391304,3.397826086956521,50.33333333333334,200.3333333333333,,,,,,,,
2025-2026,Man Utd,Crystal Palace,1.61,5.0,63.41666666666666,1971.588235294118,659.8235294117648,17.04347826086957,1.076666666666666,86.9047619047619,,,,,,,,
2025-2026,Arsenal,Chelsea,1.65,5.0,1.592916666666667,216.25,731.0,629.5714285714286,1.0,1.149545454545455,,,,,,,,
2025-2026,Wolves,Aston Villa,4.4,1.75,4001.0,134.125,1.001,701.0,376.0,1.025714285714286,,,,,,,,
2025-2026,Bournemouth,Sunderland,1.75,4.5,1795.117647058823,1971.588235294118,321.4545454545454,50.04347826086956,15.95454545454546,52.68181818181818,,,,,,,,
2025-2026,Newcastle,Everton,1.66,4.75,1185.210526315789,2001.0,322.4285714285714,201.0,9.772727272727272,29.72727272727273,,,,,,,,
