Team,Gameweek,Opponent,Win,Opponent Win,Diff,Venue,F1 Score 1+,F1 Assist,F1 Yellow Card,F1 Clean Sheet,F1 Concede 2+ Goals,F1 Concede 4+ Goals,F1 3+ Saves,F1 6+ Saves
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,0.119047619,0.105820106,0.317460317,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,0.050125313,0.073260073,0.297619048,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,0.063492063,0.073260073,0.158730159,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,0.073260073,0.056022409,0.346320346,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,0.073260073,0.036630037,0.158730159,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,#N/A,#N/A,#N/A,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,0.050125313,0.028011204,0.272108844,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,0.073260073,0.050125313,0.272108844,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,#N/A,#N/A,#N/A,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,0.073260073,0.036630037,0.297619048,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,#N/A,#N/A,#N/A,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,#N/A,#N/A,#N/A,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,0.211640212,0.105820106,0.272108844,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,0.158730159,0.173160173,0.158730159,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,0.19047619,0.119047619,0.238095238,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,0.200501253,0.119047619,0.200501253,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,0.086580087,0.095238095,0.272108844,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,#N/A,#N/A,#N/A,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,0.086580087,0.146520147,0.19047619,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,#N/A,#N/A,#N/A,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,0.105820106,0.086580087,0.297619048,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,0.19047619,0.086580087,0.272108844,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,0.146520147,0.073260073,0.219949412,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,0.105820106,0.073260073,0.317460317,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,#N/A,#N/A,#N/A,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,#N/A,#N/A,#N/A,0.25,0.422572178,0.074074074,#N/A,#N/A
Brentford,GW1,Nott'm Forest,0.23,0.51,-0.28,A,#N/A,#N/A,#N/A,0.25,0.422572178,0.074074074,#N/A,#N/A
